Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
5,1к,Серый ключ,На улицу,9204000,59,"3,15",3 квартал 2027
6,1к,Серый ключ,Во двор,9471000,"57,4","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,10192000,"63,7","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,9440000,59,"3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,12759500,"84,5","3,15",3 квартал 2027
7,1к,Серый ключ,Во двор,10274600,"57,4","3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,14802900,"100,7","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10192000,"63,7","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,9853000,59,"3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,13520000,"84,5","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор и на улицу,11206500,"72,3","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,15105000,"100,7","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,11274900,"63,7","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,10974000,59,"3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,13942500,"84,5","3,15",3 квартал 2027
9,1к,Серый ключ,Во двор,10488000,"55,2","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,15910600,"100,7","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,12540000,88,"3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,16615500,"100,7","3,15",3 квартал 2027
2,1к,Серый ключ,Во двор,8702400,"59,2","3,15",3 квартал 2027
2,2к,Серый ключ,Во двор и на улицу,12280800,"90,3","3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,7511000,"40,6","3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,8903000,"61,4","3,15",3 квартал 2027
2,1к,Серый ключ,На улицу,8961000,"61,8","3,15",3 квартал 2027
2,2к,Серый ключ,На улицу,9497500,"65,5","3,15",3 квартал 2027
2,2к,Серый ключ,Во двор,9541000,"65,8","3,15",3 квартал 2027
3,1к,Серый ключ,Во двор,9176000,"59,2","3,15",3 квартал 2027
3,2к,Серый ключ,Во двор и на улицу,12642000,"90,3","3,15",3 квартал 2027
